OBJECTID,SRA,FHSZ,FHSZ_Description,Shape__Area,Shape__Length
5162,LRA,2,High,150357.262077332,2450.55692292265
5163,LRA,2,High,890623.40845108,10373.2721747449
5164,LRA,2,High,1953623.69475174,6456.99009807057
5165,LRA,2,High,1322362.65416718,7695.86689263933
5166,LRA,2,High,2117280.64164734,7043.00734025878
5167,LRA,2,High,30996.9209976196,883.254156658325
5168,LRA,2,High,788490.438556671,4477.47255909614
5169,LRA,2,High,518560.61419487,5649.83056633757
5170,LRA,2,High,1645668.12324524,6441.97157053739
5171,LRA,2,High,1572761.21287918,7347.03798347397
5172,LRA,2,High,2574259.33929443,6415.22799152219
5173,LRA,2,High,235752.879108429,3043.70988539427
5174,LRA,2,High,62640.1620063782,1292.7196625098
5175,LRA,2,High,246792.900817871,2544.12441901462
5176,LRA,2,High,3238750.89472198,8048.26922926805
5177,LRA,2,High,2539738.45590591,7067.72461717863
5178,LRA,2,High,1021155.93811798,6063.52524368416
5179,LRA,2,High,660284.895515442,3263.77604855033
5180,LRA,2,High,544347.504436493,3333.22296648975
5181,LRA,2,High,104910.656173706,1991.05775995598
5182,LRA,2,High,161439.556240082,2515.37055016847
5183,LRA,2,High,28986.2929534912,915.663069310528
5184,LRA,2,High,207386.866153717,2821.83431020354
5185,LRA,2,High,1387617.08541298,7095.36404261278
5186,LRA,2,High,880867.106895447,5852.99585042436
5187,LRA,2,High,78078.3727550507,1220.17830013776
5188,LRA,2,High,27971.0829772949,1037.96513658797
5189,LRA,2,High,1236762.72107506,22581.9208728681
5190,LRA,2,High,365076.668130875,3736.7298155123
5191,LRA,2,High,249875.254642487,2406.54514868467
5192,LRA,2,High,410965.346542358,4022.43481196855
5193,LRA,2,High,227780.129257202,2683.11298184065
5194,LRA,2,High,69642.6555633545,1144.05212786026
5195,LRA,2,High,151144.616901398,2023.88040091665
5196,LRA,2,High,131585.691076279,2333.32816890376
5197,LRA,2,High,2598262.86577225,6447.88010908378
5198,LRA,2,High,610922.567687988,4075.0109820521
5199,LRA,2,High,287538.890180588,4202.28905328098
5200,LRA,2,High,648197.691192627,3221.08836633038
5201,LRA,2,High,232610.856054306,3207.67607119796
5202,LRA,2,High,2633546.44254112,7032.34331782327
5203,LRA,2,High,2602138.28787518,6452.50451180618
5204,LRA,2,High,1303061.25172424,5170.16187668975
5205,LRA,2,High,2591722.3269701,6439.49121372049
5206,LRA,2,High,1828360.19361877,6901.84888127822
5207,LRA,2,High,51625.1005172729,1435.81659951727
5208,LRA,2,High,102967.601302147,1973.613097633
5209,LRA,2,High,79241.2605075836,1894.78830421005
5210,LRA,2,High,2598415.83453846,6446.62678999887
5211,LRA,2,High,1232811.69244957,5502.44024221346
5212,LRA,2,High,108512.647082329,17834.2865564285
5213,LRA,2,High,443492.475315094,5017.4707994911
5214,LRA,2,High,2620256.87941551,6475.05422770017
5215,LRA,2,High,71719.9492263794,1727.05873826226
5216,LRA,2,High,2581357.25743484,12527.0849238326
5217,LRA,2,High,775496.228777885,8211.69386841635
5218,LRA,2,High,220633.319395065,2429.32783636618
5219,LRA,2,High,57045.4647722244,9377.75758163178
5220,LRA,2,High,827650.656813622,6311.47432591165
5221,LRA,2,High,2678985.32157993,6549.47925065629
5222,LRA,2,High,2686661.46897984,6560.52729893348
5223,LRA,2,High,1299185.06211758,7938.35669536944
5224,LRA,2,High,41339.6411905289,1289.96032972596
5225,LRA,2,High,261011.578356743,3648.18885806719
5226,LRA,2,High,162909.968737602,1614.84497256894
5227,LRA,2,High,148518.298687935,2047.56705231545
5228,LRA,2,High,2605807.04102707,6459.55825683448
5229,LRA,2,High,8102.85941505432,360.064744030641
